Hohenems,Dornbirn,Vorarlberg,1983,13.891,15.283,17.239
Hollabrunn,Hollabrunn,Niederösterreich,1908,10.685,11.489,12.262
Horn,Horn,Niederösterreich,1660,6.411,6.548,6.502
Imst,Imst,Tirol,1898,8.689,9.506,11.135
Innsbruck,Innsbruck,Tirol,1239,113.392,119.617,131.358
Jennersdorf,Jennersdorf,Burgenland,1977,4.236,4.197,4.143
Judenburg,Murtal,Steiermark,1224,10.130,9.312,9.614
Kapfenberg,Bruck-Mürzzuschlag,Steiermark,1924,22.234,21.637,22.182
Kindberg,Bruck-Mürzzuschlag,Steiermark,1982,5.865,5.499,8.183
Kirchdorf an der Krems,Kirchdorf,Oberösterreich,1975,4.099,4.075,4.931
Kirchschlag in der Buckligen Welt,Wiener Neustadt,Niederösterreich,2002,2.960,2.921,2.801
Kitzbühel,Kitzbühel,Tirol,1271,8.574,8.076,8.289
Klagenfurt am,Wörthersee,Kärnten,1252,90.141,94.483,104.332
Klosterneuburg,Tulln,Niederösterreich,1298,24.797,25.828,28.107
Knittelfeld,Murtal,Steiermark,1302,12.740,11.553,12.781
Köflach,Voitsberg,Steiermark,1939,10.671,9.747,9.639
Korneuburg,Korneuburg,Niederösterreich,1298,11.032,12.278,13.697
Krems an der,Donau,Niederösterreich,1305,23.713,24.032,25.271
Kufstein,Kufstein,Tirol,1393,15.358,17.469,19.930
Laa an der Thaya,Mistelbach,Niederösterreich,1230,6.137,6.187,6.275
Laakirchen,Gmunden,Oberösterreich,2007,9.130,9.468,9.813
Landeck,Landeck,Tirol,1923,7.336,7.709,7.579
Langenlois,Krems,Niederösterreich,1925,6.875,7.392,7.582
Leibnitz,Leibnitz,Steiermark,1913,6.892,7.862,13.014
Leoben,Leoben,Steiermark,1280,25.804,24.598,25.140
Leonding,Linz-Land,Oberösterreich,1975,22.203,25.582,29.129
Lienz,Lienz,Tirol,1240,12.079,11.761,11.990
Liezen,Liezen,Steiermark,1947,6.908,6.848,8.251
Lilienfeld,Lilienfeld,Niederösterreich,1974,3.021,2.811,2.630
Linz,Linz,Oberösterreich,1240,183.504,189.889,210.118
Litschau,Gmünd,Niederösterreich,1386,2.524,2.263,2.139
Maissau,Hollabrunn,Niederösterreich,1380,1.855,1.869,1.944
Mank,Melk,Niederösterreich,1987,2.904,3.090,3.335
Mannersdorf am Leithagebirge Bruck an der,Leitha,Niederösterreich,1989,3.731,3.839,4.219
Marchegg,Gänserndorf,Niederösterreich,1268,2.850,2.926,3.099
Marchtrenk,Wels-Land,Oberösterreich,2000,11.274,12.359,14.603
Mariazell,Bruck-Mürzzuschlag,Steiermark,1948,1.723,1.492,3.718
Mattersburg,Mattersburg,Burgenland,1926,6.256,7.075,7.514
Mattighofen Braunau am Inn,Oberösterreich,15.,1986,5.087,5.730,7.398
Mautern an der Donau,Krems,Niederösterreich,1276,3.074,3.465,3.418
Melk,Melk,Niederösterreich,1898,5.222,5.254,5.594
